PR ID,PR URL,Initial Hallucination Type,Final Hallucination Type,Evolution Type,Final PR Status,Evidence,,,,,,,,,,,,
PR12,https://github.com/ddow/dashboard-agent/pull/7,Requirement-Conflicting,Requirement-Conflicting,Persistence,Merged,"The PR contains two commits, but the later commit primarily updates dashboard-backend.zip. The visible final diff still contains the dry-run implementation associated with the originally identified redundant/control-flow issue, with no clear evidence that the hallucination was removed or changed to another hallucination category.",,,,,,,,,,,,
PR58,https://github.com/jaidencode/OptrixOS/pull/19,Knowledge-Related,Knowledge-Related,Persistence,Merged,"The PR contains only one commit (4db58cd) and was merged without any subsequent revision. Therefore, no hallucination evolution across revision cycles can be observed.",,,,,,,,,,,,
PR65,https://github.com/nopara73/LongevityWorldCup/pull/226,Requirement-Conflicting,Requirement-Conflicting,Persistence,Closed,Initial ranking logic issue remained after the second commit; subsequent revision focused on handling incomplete biomarker data rather than correcting the identified ranking logic.,,,,,,,,,,,,
PR81,https://github.com/Frostube/seva-finance/pull/5,Requirement-Conflicting,Requirement-Conflicting,Persistence,Closed,"The PR retained unrelated pre-existing feature commits beyond the wallet-refresh requirement, with no revision removing the scope expansion before closure.",,,,,,,,,,,,
PR88,https://github.com/morquis/apple-mcp/pull/5,Knowledge-Related,Knowledge-Related,Persistence,Merged,"The initial implementation introduced Apple Photos and Music integrations based on assumed JXA/Apple application API behavior, including patterns such as Photos.mediaItems, Photos.reveal(target), and direct Music library access. The PR contains only one visible commit (65650fa) and no review/conversation-driven revision cycle. The same implementation was merged into main without a subsequent corrective commit; additionally, the PR summary reports bun run index.ts (fails: huge output) and GitHub shows 0 checks. Therefore, based on the available PR history, the initially identified knowledge-related hallucination remained present in the final merged version, indicating Persistence.",,,,,,,,,,,,
PR91,https://github.com/abdurahim-H/FocusApp/pull/5,Requirement-Conflicting,Requirement-Conflicting,Persistence,Draft,"The PR was intended to implement automatic transitions between focus and break sessions while preserving existing timer behavior. Across two commits (8c880ee and c5d2f0c), the implementation was revised, including corrections to currentMode (home ? focus), UI button visibility during transitions, and the auto-start logic. However, the final visible implementation still automatically invokes startTimer() through a fixed setTimeout, preserving the core auto-loop behavior underlying the initial requirement-conflicting classification. The timeout also appears as 1200 ms in the final diff, while the PR description explicitly states a 3-second achievement-display pause before starting the next session. Thus, despite intermediate modifications, the identified requirement conflict remains in the final version. The PR remains Draft, with 0 checks and no evidence of a final accepted/merged correction.",,,,,,,,,,,,
PR92,https://github.com/mochilang/mochi/pull/10028,Code-Inconsistency,Code-Inconsistency,Persistence,Merged,"The initial implementation was classified as code-inconsistent due to incomplete/problematic Kotlin transpiler support. The PR contained only one commit (e524f9b shown in the PR commit history), so no subsequent PR revision was made to correct the identified hallucination before merge. The implementation added support for let declarations, variable references, and binary operators and marked let_and_print as completed. However, validation was incomplete: the PR explicitly reported that the Kotlin transpiler test could not run because kotlinc was not installed, and GitHub shows that the PR was merged with 1 failed check. The visible check annotation reports main redeclared in this block. Since no corrective revision occurred within the PR and the problematic state remained at the final PR version, the initial Code-Inconsistency persisted through to merge.",,,,,,,,,,,,
PR100,https://github.com/savantajah/skills-expand-your-team-with-copilot/pull/13,Knowledge-Related,Knowledge-Related,Persistence,Merged,"The Copilot-authored README update introduced detailed claims about the application's functionality, including secure staff authentication, role-based access, session management, MongoDB/database integration, real-time updates/search, capacity management, and specific activity schedules. The PR was initially classified as Knowledge-Related because these documentation claims were not sufficiently grounded in the verified implementation. The PR history shows two commits, but one is an Initial plan; the substantive README changes appear in the implementation commit ff660e6. No subsequent corrective implementation revision is visible that removes or verifies the unsupported feature claims. The changes were approved by the repository owner and merged, but reviewer approval does not itself demonstrate that the identified knowledge-related hallucination was corrected. Therefore, the Knowledge-Related hallucination remained in the final submitted/merged version.",,,,,,,,,,,,
PR108,https://github.com/tylaig/SalesTrackPro/pull/2,Requirement-Conflicting,Requirement-Conflicting,Persistence,Open,"The Codex-generated implementation introduces recoverySource and attributes recovered sales to either pix or cart based on inferred prior events. In storage.ts, a previous lost sale or ABANDONED_CART event is treated as a cart recovery, while a previous pending PIX_GENERATED event is treated as a PIX recovery; this inferred source is then persisted when the sale is marked as recovered. This represents the identified requirement-conflicting hallucination because the recovery attribution relies on an assumed mapping between prior event history and recovery source rather than clearly demonstrated ground-truth attribution. The PR contains only one commit (e91b9a9), has no reviews and no subsequent corrective revision. The PR description also reports that npm run check fails with missing type definitions and multiple TypeScript errors. Therefore, the identified requirement-conflicting behavior remains in the latest available PR version, and the PR remains open.",,,,,,,,,,,,
PR134,https://github.com/VegaDesigns/portfolio/pull/1,Knowledge-Related,Knowledge-Related,Persistence,Merged,"The initial README change introduced an unsupported claim that the portfolio highlights JavaScript and React work. The PR contains only one commit, with no subsequent revision removing or correcting this claim, and the change was merged into the main branch.",,,,,,,,,,,,
