pr_id,pr_url,agent,pr_state,task_type,ci_result,hallucination_label,hallucination_type,notes
PR1,https://github.com/mochilang/mochi/pull/10926,OpenAI Codex,Merged,Bug Fix,Passed,No,None,Correct implementation
PR2,https://github.com/atariryuma/Everyone-s-Answer-Board/pull/155,OpenAI Codex,Merged,Feature,Passed,No,None,Matches description
PR3,https://github.com/LAPrice90/coveBespokev1/pull/23,OpenAI Codex,Merged,Feature,None,No,None,No CI configured
PR4,https://github.com/emnss26/TAD-APP-Fronend/pull/43,OpenAI Codex,Merged,UI Feature,Passed,No,None,Three.js implementation
PR5,https://github.com/jorgesanabria/DBAL/pull/65,OpenAI Codex,Merged,Documentation,None,No,None,Valid API usage
PR6,https://github.com/danny0ceanCA/airecruiting/pull/228,OpenAI Codex,Merged,Feature,None,No,None,Valid logic
PR7,https://github.com/leopechnicki/AI-Assistant/pull/26,OpenAI Codex,Merged,Tool Integration,Passed,No,None,Secure implementation
PR8,https://github.com/TheFellow/fluid/pull/4,OpenAI Codex,Merged,Input Handling,None,No,None,No inconsistencies
PR9,https://github.com/ant-design/ant-design/pull/54403,Copilot,Merged,Documentation,Passed,No,None,Passed CI
PR10,https://github.com/MontrealAI/AGI-Alpha-Agent-v0/pull/3418,OpenAI Codex,Merged,Refactor,Passed,No,None,Syntax migration
PR11,https://github.com/Kicer86/TwoTone/pull/56,OpenAI Codex,Merged,Refactor,Passed,No,None,Dataclass conversion
PR12,https://github.com/ddow/dashboard-agent/pull/7,OpenAI Codex,Merged,DevOps,None,Borderline,Logical Issue,Redundant control flow
PR13,https://github.com/TethasGuide/outgoing_transfer_verification/pull/2,OpenAI Codex,Merged,DevOps,None,No,None,Docker valid
PR14,https://github.com/Automattic/wp-feature-api/pull/54,OpenAI Codex,Merged,Refactor,None,No,None,Consistent cache logic
PR15,https://github.com/cssius111/xianxia-world-engine/pull/372,OpenAI Codex,Merged,Config,None,No,None,Gitignore correct
PR16,https://github.com/twiga2013/basicdatagrid/pull/3,Copilot,Draft,Planning,None,No,None,No implementation
PR17,https://github.com/BET-lab/enex_analysis_engine/pull/2,OpenAI Codex,Open,Bug Fix,None,No,None,Correct import
PR18,https://github.com/asimx07/radio-pakistan/pull/7,OpenAI Codex,Merged,Feature,None,No,None,Functional
PR19,https://github.com/TaylorChyi/Glancy-site/pull/102,OpenAI Codex,Merged,UI Update,None,No,None,Correct UI
PR20,https://github.com/signalrandom/Paxx/pull/53,OpenAI Codex,Merged,API Update,None,No,None,Valid API
PR21,https://github.com/silentArtifact/dynamic-dates/pull/119,OpenAI Codex,Merged,Formatting,None,No,None,Correct logic
PR22,https://github.com/djdefi/crosspaths/pull/26,Copilot,Merged,Bug Fix,Passed,No,None,API fix
PR23,https://github.com/m0st4f4-hub/MCP-ProjectManager/pull/414,OpenAI Codex,Merged,Testing,Passed,No,None,Valid tests
PR24,https://github.com/SYSTEMS-OPERATOR/SUPER-POLE-POSITION/pull/56,OpenAI Codex,Merged,UI Change,None,No,None,Cosmetic
PR25,https://github.com/SpartanM34/Reflective-AI-and-CPAS-Core/pull/77,OpenAI Codex,Merged,Feature,None,No,None,Correct logic
PR26,https://github.com/Uva337/SysAdm/pull/9,OpenAI Codex,Open,Feature,None,No,None,Plugin manager UI
PR27,https://github.com/jiang666/visitmanagement2/pull/50,OpenAI Codex,Merged,UI Feature,None,No,None,Responsive layout
PR28,https://github.com/jempo2002/palmatronica/pull/9,OpenAI Codex,Merged,UI Design,None,No,None,CSS styling
PR29,https://github.com/ddumaa/tracking_system/pull/180,OpenAI Codex,Merged,Feature,None,No,None,Spring Boot popup
PR30,https://github.com/vgalin/card-cutter/pull/7,OpenAI Codex,Closed,Feature,None,No,None,UI enhancement
PR31,https://github.com/Loganrdj/portfolio/pull/11,OpenAI Codex,Merged,UI Feature,None,No,None,Modal addition
PR32,https://github.com/MartinToOr/EcoMoveValencia/pull/1,OpenAI Codex,Merged,Security Fix,None,No,None,API key removal
PR33,https://github.com/m1rageLA/internet-store/pull/19,OpenAI Codex,Open,UI Improvement,None,No,None,Responsive design
PR34,https://github.com/lllosaaa/PA-FS25-1/pull/1,OpenAI Codex,Merged,Testing,None,No,None,Unit tests
PR35,https://github.com/mochilang/mochi/pull/4247,OpenAI Codex,Merged,Feature,Passed,No,None,Runtime update
PR36,https://github.com/jeelojacko/CAD/pull/238,OpenAI Codex,Merged,Refactor,Passed,No,None,UI restructuring
PR37,https://github.com/fledit-sh/glacium-repo/pull/146,OpenAI Codex,Merged,Testing,None,No,None,Pytest tests
PR38,https://github.com/roymichaels/blue-ocean/pull/43,OpenAI Codex,Merged,Security Feature,None,No,None,Encryption added
PR39,https://github.com/alepop/ed25519-hd-key/pull/274,Copilot,Open,Documentation,Passed,No,None,Browser config
PR40,https://github.com/supermarsx/autogitpull/pull/97,OpenAI Codex,Merged,System Feature,None,No,None,macOS monitoring
PR41,https://github.com/sandWasTaken/game-cheating-tool/pull/2,OpenAI Codex,Merged,Bug Fix,None,No,None,GUI fix
PR42,https://github.com/Tagliax79/cruciverba/pull/1,OpenAI Codex,Open,Bug Fix,None,No,None,Crossword logic
PR43,https://github.com/Elad220/glasslist/pull/22,Cursor AI,Merged,Feature,Passed,No,None,Category system
PR44,https://github.com/shantanuweb/api-doc-builder/pull/10,OpenAI Codex,Merged,Bug Fix,Passed,No,None,URL parsing
PR45,https://github.com/traeumen927/chatGPT/pull/45,OpenAI Codex,Merged,Refactor,None,No,None,Architecture update
PR46,https://github.com/kelu2008/juncheng/pull/24,OpenAI Codex,Merged,UI Fix,None,No,None,SVG fix
PR47,https://github.com/sabdulmajid/open-edge-llm/pull/3,OpenAI Codex,Merged,DevOps,None,No,None,Setup script
PR48,https://github.com/masj3107/Strava_CR_play/pull/1,OpenAI Codex,Merged,Testing,None,No,None,Angular tests
PR49,https://github.com/rdalida/radiant-whiteboard/pull/10,OpenAI Codex,Merged,Feature,None,No,None,Drag logic
PR50,https://github.com/R-ohit-B-isht/cal.com/pull/34,OpenAI Codex,Closed,Documentation,None,No,None,Template docs
PR51,https://github.com/qgzhang/SmartReply/pull/3,OpenAI Codex,Merged,Bug Fix,None,No,None,Validation logic added
PR52,https://github.com/onlook-dev/onlook/pull/1419,Devin AI,Closed,Feature,None,No,None,Closed due to inactivity
PR53,https://github.com/owlsand/gentlebot/pull/65,OpenAI Codex,Merged,Feature,None,No,None,Refactor + feature
PR54,https://github.com/Ddemon26/DreamCompiler/pull/184,OpenAI Codex,Merged,Documentation,None,No,None,README update
PR55,https://github.com/kepr-github/PointCloud_Slide/pull/15,OpenAI Codex,Merged,UI Feature,None,No,None,Timer control
PR56,https://github.com/Likio3000/Alpha_Evolve/pull/12,OpenAI Codex,Merged,CLI Feature,None,No,None,CLI args
PR57,https://github.com/vix-4800/Fusor/pull/195,OpenAI Codex,Merged,Feature,Partial,No,None,Minor lint fail
PR58,https://github.com/entirelyalive/autogeo/pull/1,OpenAI Codex,Merged,Feature,None,No,None,Valid geospatial logic
PR59,https://github.com/pdfinn/gamera/pull/32,OpenAI Codex,Merged,Documentation,None,No,None,Dependency explanation
PR60,https://github.com/jaidencode/OptrixOS/pull/19,OpenAI Codex,Merged,Bug Fix,None,Yes,Knowledge Hallucination,Wrong system assumption
PR61,https://github.com/sybrew/the-seo-framework/pull/723,Copilot,Draft,Feature,None,No,Not Hallucination,Over-engineering
PR62,https://github.com/Pinstack/suhail_final/pull/1,OpenAI Codex,Closed,Testing,None,No,Not Hallucination,Implementation issue
PR63,https://github.com/blankdotspace/space-system/pull/1135,OpenAI Codex,Merged,Bug Fix,Passed,No,None,Correct React fix
PR64,https://github.com/JerryHelmets/helmets-game/pull/2,OpenAI Codex,Merged,Testing,Passed,No,None,Valid tests
PR65,https://github.com/taikoxyz/taikoscope/pull/487,OpenAI Codex,Merged,UI Fix,Passed,No,None,Label consistency
PR66,https://github.com/ArshadAman/outgrow-native/pull/22,Copilot,Merged,Feature,Passed,No,Risk,Over-engineering
PR67,https://github.com/nopara73/LongevityWorldCup/pull/226,OpenAI Codex,Closed,Feature,Passed,Yes,Logical Hallucination,Incorrect ranking logic
PR68,https://github.com/k5-mot/photoapp-sample/pull/46,Copilot,Draft,Infrastructure,None,Yes,Over-generation,Security risk
PR69,https://github.com/DiNaSoR/WoWLang/pull/2,Devin AI,Closed,Refactor,None,No,None,Modularization
PR70,https://github.com/EmirhanSergen/ProjectCallPlatform/pull/147,OpenAI Codex,Closed,Documentation,None,No,None,Template docs
PR71,https://github.com/mmdfl/colorGame/pull/3,OpenAI Codex,Merged,Refactor,None,No,None,Code cleanup
PR72,https://github.com/KyriakosOuz/AirQ/pull/3,OpenAI Codex,Merged,Setup,CI Fail,Borderline,Over-generation,CI mismatch
PR73,https://github.com/EvotecIT/HtmlTinkerX/pull/24,OpenAI Codex,Merged,Feature,CI Fail,Borderline,Integration Issue,Pipeline failures
PR74,https://github.com/k4k0l/spaceship/pull/3,OpenAI Codex,Merged,Feature,None,No,None,Game logic
PR75,https://github.com/sebitza1020/RetailBot-Lite/pull/2,OpenAI Codex,Merged,Feature,None,No,None,E-commerce demo
PR76,https://github.com/mochilang/mochi/pull/4247,OpenAI Codex,Merged,Feature,Passed,No,None,Runtime enhancement
PR77,https://github.com/jeelojacko/CAD/pull/238,OpenAI Codex,Merged,Refactor,Passed,No,None,UI restructuring
PR78,https://github.com/fledit-sh/glacium-repo/pull/146,OpenAI Codex,Merged,Testing,None,No,None,Unit tests
PR79,https://github.com/roymichaels/blue-ocean/pull/43,OpenAI Codex,Merged,Security Feature,None,No,None,Encryption
PR80,https://github.com/alepop/ed25519-hd-key/pull/274,Copilot,Open,Documentation,Passed,No,None,Browser compatibility
PR81,https://github.com/supermarsx/autogitpull/pull/97,OpenAI Codex,Merged,System Feature,None,No,None,macOS monitoring
PR82,https://github.com/sandWasTaken/game-cheating-tool/pull/2,OpenAI Codex,Merged,Bug Fix,None,No,None,GUI fix
PR83,https://github.com/Tagliax79/cruciverba/pull/1,OpenAI Codex,Open,Bug Fix,None,No,None,Crossword fix
PR84,https://github.com/Elad220/glasslist/pull/22,Cursor AI,Merged,Feature,Passed,No,None,UI categories
PR85,https://github.com/shantanuweb/api-doc-builder/pull/10,OpenAI Codex,Merged,Bug Fix,Passed,No,None,URL parsing
PR86,https://github.com/traeumen927/chatGPT/pull/45,OpenAI Codex,Merged,Refactor,None,No,None,Architecture
PR87,https://github.com/kelu2008/juncheng/pull/24,OpenAI Codex,Merged,UI Fix,None,No,None,SVG fix
PR88,https://github.com/sabdulmajid/open-edge-llm/pull/3,OpenAI Codex,Merged,DevOps,None,No,None,Setup script
PR89,https://github.com/masj3107/Strava_CR_play/pull/1,OpenAI Codex,Merged,Testing,None,No,None,Angular tests
PR90,https://github.com/rdalida/radiant-whiteboard/pull/10,OpenAI Codex,Merged,Feature,None,No,None,Drag logic
PR91,https://github.com/R-ohit-B-isht/cal.com/pull/34,OpenAI Codex,Closed,Documentation,None,No,None,Template docs
PR92,https://github.com/ankeet13/DigitalClock/pull/1,OpenAI Codex,Open,Feature,None,No,None,UI enhancement
PR93,https://github.com/Delwing/arkadia-web-client-extension/pull/530,OpenAI Codex,Merged,Bug Fix,Passed,No,None,Refactor + tests
PR94,https://github.com/EdwinKestler/instagramStoryParts/pull/5,OpenAI Codex,Merged,Refactor,None,No,None,Performance
PR95,https://github.com/thepriyanshpal/dice-game/pull/1,Cursor AI,Merged,Feature,Passed,No,None,UI categories
